Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Reporting Type,Units,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",72,Botswana,G,CON_USD_M,,0.05036,2.37828,0.22963,0.39954,0.10155,0.16482,1.31629,2.15325,0.40588,1.2574,0.84672,0.74004,0.37387,0.649,0.37747,0.0106,0.08074,0.07769,0.19441,0.03796,0.04197
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",76,Brazil,G,CON_USD_M,3.20645,5.90122,6.03643,8.62845,3.79943,6.67747,17.18195,32.99259,142.59286,91.11684,14.52418,240.39608,132.57437,128.85214,157.65352,105.94746,111.04126,104.83266,42.41541,42.21292,24.18836,38.64088
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",854,Burkina Faso,G,CON_USD_M,70.34542,158.05952,35.29537,54.9495,62.97459,76.03697,103.40791,95.29603,96.27896,68.38169,81.83121,140.4858,151.55011,149.57786,155.48657,108.80635,161.01918,127.5329,117.03372,176.51658,88.33892,108.30091
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",108,Burundi,G,CON_USD_M,11.23612,13.61712,4.82291,4.90013,5.23811,6.59816,8.52911,14.15818,16.53601,20.68439,34.16532,34.06521,27.4498,25.33427,20.93259,14.24854,15.41635,21.39691,41.14852,94.79036,44.68314,41.9362
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",132,Cabo Verde,G,CON_USD_M,0.8792,12.50409,6.16571,3.77403,9.81653,7.07821,6.32329,4.31664,9.99962,22.82787,13.37316,12.17023,15.66164,14.75041,9.7278,32.19937,27.0593,37.41032,8.73995,7.46211,6.38859,18.04764
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",116,Cambodia,G,CON_USD_M,25.98166,34.35399,29.55006,39.07955,23.63643,22.28264,22.43191,27.9571,30.87257,17.94665,42.75929,60.37593,59.45304,77.57708,75.43058,85.66607,80.47436,175.15394,136.71154,191.39183,205.33512,309.41245
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",120,Cameroon,G,CON_USD_M,6.33504,8.66681,8.35511,8.34875,9.93146,5.66168,3.12821,4.4747,17.31877,6.88228,19.90675,38.65937,22.15962,68.09226,121.89243,108.3429,143.06072,137.39615,107.91267,162.72869,87.01367,124.01076
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",29,Caribbean,G,CON_USD_M,94.0237,26.28046,32.07754,37.55078,47.79044,33.63859,43.65412,22.1064,45.66815,141.70415,91.15019,72.14979,64.19071,75.01806,105.21926,101.73293,140.67997,148.67439,172.66859,68.41037,69.6786,110.41972
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",135,Caucasus and Central Asia,G,CON_USD_M,114.77392,179.93242,74.61662,90.07645,107.91189,117.12765,116.75665,85.54421,151.91682,187.22371,253.48912,312.10066,254.21709,257.07722,347.35531,352.18343,440.48044,380.38534,439.4558,406.84239,363.77909,365.94281
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",140,Central African Republic,G,CON_USD_M,0.25287,0.35238,1.02244,0.27082,0.19283,0.37943,0.97085,1.94171,3.02696,10.20634,5.6619,8.92056,7.26303,7.31216,6.34887,4.88526,5.96134,4.00832,12.27434,6.80172,16.19422,5.74785
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",13,Central America,G,CON_USD_M,425.85364,258.03974,79.12177,105.37321,113.09917,236.81485,216.43342,147.08927,136.71672,331.69128,357.08058,189.38056,113.77821,152.30369,386.29288,155.37304,225.98878,126.63729,149.60244,190.10817,166.45759,143.02818
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",143,Central Asia,G,CON_USD_M,43.60876,76.82515,22.61619,43.95363,53.74098,57.70539,59.88442,32.19747,85.92622,90.4448,90.40458,96.16689,111.10903,123.82933,177.8358,187.13172,231.2443,112.96756,191.68359,247.32502,259.58242,300.11695
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",148,Chad,G,CON_USD_M,39.24043,4.49904,24.22864,25.10549,19.13075,22.02357,24.64345,22.06844,25.22156,30.00229,35.54572,28.05949,26.71116,22.42644,26.37605,41.74147,35.92628,49.26063,42.17961,23.44526,31.70893,25.50732
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",152,Chile,G,CON_USD_M,0.45394,6.17048,0.09114,1.71166,5.16215,20.85963,17.04332,23.50781,32.42919,15.71931,10.89613,68.85692,35.55295,8.72183,1.05923,17.03625,4.36242,5.41675,,,,
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",156,China,G,CON_USD_M,591.7764,799.54067,260.41228,246.72066,244.28294,423.79902,278.12494,339.14203,281.98401,329.56002,294.59357,218.47984,210.01957,226.33239,170.90442,216.33132,101.26754,102.68529,79.4806,91.78058,109.87249,63.22123
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",170,Colombia,G,CON_USD_M,0.24943,0.6118,1.83743,2.05742,0.99714,0.8063,2.42812,2.95688,3.87361,60.39991,2.10868,3.09135,103.89832,27.65649,14.05468,4.46125,3.61593,13.91847,16.77791,16.41315,25.51238,21.47172
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",174,Comoros,G,CON_USD_M,,9.64375,2.02752,1.46962,0.73882,1.33005,1.43298,1.73942,1.30904,1.38629,0.75235,2.22505,2.9317,3.45904,7.48274,6.94044,6.36191,4.34565,8.53053,10.3217,0.36025,1.20856
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",178,Congo,G,CON_USD_M,0.6913,,,8.06098,3.14854,3.62538,2.13035,1.38524,1.85999,0.39891,2.15258,4.1727,3.33112,9.55269,7.85938,4.47169,2.91719,10.74381,25.60499,13.33531,35.65804,24.19915
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",184,Cook Islands,G,CON_USD_M,0.41053,3.49008,0.2184,0.25595,0.23272,0.11783,0.47869,0.3766,0.2049,2.0142,0.58264,1.49045,2.37845,2.85827,2.36491,4.72233,3.83259,3.75957,7.47984,1.97644,,
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",188,Costa Rica,G,CON_USD_M,1.05382,140.74321,0.48841,0.21002,0.65776,2.06397,11.45107,23.96536,21.2366,58.96708,49.10732,13.29454,8.43833,13.88524,23.13892,44.37136,15.09381,30.14117,11.27883,13.17851,2.42601,0.27831
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",384,Côte d'Ivoire,G,CON_USD_M,18.41716,26.12956,14.97227,5.98307,5.63339,3.86036,1.34048,4.86181,8.07773,31.8913,39.45295,31.24859,42.51821,20.66199,26.43557,28.33223,109.75468,8.66603,41.1045,32.237,15.96791,11.45152
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",191,Croatia,G,CON_USD_M,0.46214,1.38977,0.0707,0.07597,0.00579,2.2175,9.13127,12.52102,25.69658,12.68821,10.87518,,,,,,,,,,,
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",192,Cuba,G,CON_USD_M,0.72787,2.09884,1.38931,2.35244,6.62569,4.21165,2.59496,3.07199,2.70882,3.57768,14.49343,11.49438,9.06718,13.87484,15.44361,18.61346,60.95791,61.55317,116.49724,18.27196,16.88495,11.43795
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",408,Democratic People's Republic of Korea,G,CON_USD_M,0.25997,1.43265,0.19861,0.47308,0.48293,0.71998,0.20114,1.00403,2.70822,0.73111,8.54935,6.96091,7.259,3.20446,4.35358,2.4145,1.60609,1.0943,1.22571,1.23248,0.16332,0.40055
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",180,Democratic Republic of the Congo,G,CON_USD_M,2.31374,1.88839,4.8721,5.67969,10.68427,25.31017,26.98684,29.71383,48.46048,72.27921,119.01054,118.89226,162.78171,215.30106,171.78142,164.35591,161.68373,151.91755,166.18075,126.35836,76.43504,119.52173
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",514,"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",G,CON_USD_M,283.5079,159.40462,80.62315,95.064,118.15579,120.59752,147.42129,159.86472,166.64832,182.17929,197.65852,192.7205,244.82844,211.66766,292.51856,340.97109,261.4857,271.93321,171.88122,223.63695,223.19696,204.06659
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",515,Developing regions,G,CON_USD_M,5751.65251,6355.36325,2798.59392,3100.14245,3639.22098,5806.35098,5733.86336,5816.14746,6689.29522,6807.08172,7659.57666,8037.2889,7949.03474,8075.36129,9000.32001,9569.19943,9758.40676,9489.84427,10077.04627,9584.47697,8589.05135,8128.90276
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",262,Djibouti,G,CON_USD_M,2.19577,6.87652,5.21737,6.63923,3.33613,1.903,0.60816,2.06372,2.6585,6.97646,8.27462,11.55008,22.025,27.94398,26.5931,16.04143,13.74455,23.3604,39.36869,47.96448,27.92508,15.13136
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",212,Dominica,G,CON_USD_M,,,1.09888,0.42588,1.25917,1.54294,1.50822,0.12034,0.83634,0.20106,0.10746,0.87741,4.22627,1.97459,0.54583,0.81073,,0.81284,1.08879,0.31365,0.65921,0.99055
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",214,Dominican Republic,G,CON_USD_M,59.22143,8.74041,6.52955,12.43143,28.12147,13.75858,18.48387,4.41359,4.62309,5.38465,18.13215,21.33083,4.53171,25.98398,21.05248,30.85022,36.32337,41.12188,1.74932,2.49972,11.83466,6.86121
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",14,Eastern Africa,G,CON_USD_M,456.10318,390.81962,336.27829,433.17148,424.45734,648.93547,650.68393,872.08093,824.05405,992.10944,1000.62554,1002.05954,1289.33492,1380.28258,1281.35281,1221.34895,1343.89206,1340.36079,1494.03802,1534.72886,1258.62183,1293.79297
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",30,Eastern Asia,G,CON_USD_M,592.36729,802.82803,265.20125,252.72329,250.66573,432.61217,290.13793,354.82473,296.83518,344.30304,328.96792,257.39128,253.62088,255.35875,193.95455,227.12369,110.32948,115.25071,106.7528,118.66929,144.62367,93.52116
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",223,Eastern Asia (excluding Japan and China),G,CON_USD_M,0.59088,3.28737,4.78897,6.00263,6.3828,8.81315,12.013,15.6827,14.85117,14.74302,34.37435,38.91144,43.60131,29.02636,23.05013,10.79237,9.06194,12.56543,27.2722,26.88871,34.75118,30.29993
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",151,Eastern Europe,G,CON_USD_M,0.43778,,4.24252,2.78684,1.47713,8.1612,11.8533,13.1436,6.7918,32.37001,27.65683,21.39496,34.18151,37.65985,41.19621,81.6863,24.43331,60.74129,26.04477,46.45448,64.991,33.56499
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",218,Ecuador,G,CON_USD_M,71.47555,41.17167,9.71668,23.3982,10.89498,10.89163,15.34996,22.02957,20.19646,15.00076,30.08745,23.75462,24.34295,21.91271,10.92328,11.9308,34.90504,51.75971,60.6083,53.25337,65.42146,59.11199
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",818,Egypt,G,CON_USD_M,117.64411,187.11564,188.62239,127.16949,325.52934,140.36896,136.83303,129.96476,157.68434,209.64128,143.96711,135.63039,132.60518,116.54984,145.67265,240.4691,286.46306,168.41067,389.5192,382.91877,387.88969,260.89992
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",222,El Salvador,G,CON_USD_M,3.5865,42.82727,14.08892,12.49836,9.18675,19.48134,11.55866,14.21396,13.79767,43.39076,29.62755,6.05816,3.20399,13.01879,7.73381,3.25461,5.60346,14.6471,12.95343,11.09116,15.7358,30.18445
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",226,Equatorial Guinea,G,CON_USD_M,0.09929,0.07448,7.64308,1.23511,3.38615,1.45056,3.32198,0.64078,0.02078,0.02803,,0.02121,,,0.01129,,,,0.02232,,0.00184,0.0911
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",232,Eritrea,G,CON_USD_M,0.64128,7.30102,5.39423,1.35504,1.77219,5.48815,8.45007,3.72633,7.95752,6.93577,7.37511,2.89712,3.09759,0.95177,0.95831,0.6039,1.05289,0.71986,0.34605,3.76001,1.89394,0.59831
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",748,Eswatini,G,CON_USD_M,0.08263,23.70277,0.17474,1.6905,6.96135,4.60922,3.02821,2.72662,7.71196,1.91694,4.46563,1.84911,0.88713,2.01432,2.88724,12.09503,14.38505,5.79232,4.05947,3.09245,10.72082,25.75271
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",231,Ethiopia,G,CON_USD_M,12.19704,42.5586,27.38723,42.88902,38.78121,136.08323,145.77391,145.20395,151.76971,157.1012,136.34499,159.27605,204.54406,190.58693,231.12064,222.43181,229.68301,244.27614,210.38229,289.81061,164.69374,187.68824
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",150,Europe,G,CON_USD_M,283.5079,159.40462,80.62315,95.064,118.15579,120.59752,147.42129,159.86472,166.64832,182.17929,197.65852,192.7205,244.82844,211.66766,292.51856,340.97109,261.4857,271.93321,171.88122,223.63695,223.19696,204.06659
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",242,Fiji,G,CON_USD_M,0.45824,,0.1092,0.13173,0.20906,0.27549,1.16249,0.86912,2.26942,4.09007,1.90948,2.87182,1.11644,1.88261,4.04364,3.5896,2.91404,2.3256,7.03319,20.00092,2.87788,12.76585
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",266,Gabon,G,CON_USD_M,0.11932,,,0.04217,0.06809,0.19118,0.02204,,16.29595,2.08437,8.79296,13.53647,10.61272,22.2842,17.4307,6.87962,5.51917,4.45959,1.0884,0.5703,0.84409,2.03806
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",270,Gambia,G,CON_USD_M,0.25863,0.32485,1.02711,0.75886,2.027,2.28897,5.93836,16.65835,9.37595,8.94933,3.62639,3.50079,3.65974,0.48559,0.85252,2.72003,3.39303,1.90817,1.67872,1.81247,1.93142,3.17926
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",268,Georgia,G,CON_USD_M,0.82824,50.7699,7.13421,6.55719,13.13394,7.49032,14.7693,10.846,19.15253,36.54425,56.29655,85.69633,63.13773,28.67676,61.7083,49.16084,70.11023,74.64354,65.489,51.89053,37.57348,37.05746
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",288,Ghana,G,CON_USD_M,64.97118,66.0538,64.54541,59.43309,67.59377,78.46203,84.28127,126.67782,131.79321,64.76813,114.36335,72.54594,116.30813,63.32101,99.07892,158.55521,117.6813,81.35378,65.93483,68.111,73.94809,55.79625
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",308,Grenada,G,CON_USD_M,8.94406,,3.5679,0.2748,0.12108,0.12877,0.27027,0.14053,0.00649,3.69193,0.52612,0.67065,1.00119,0.01734,0.0191,0.02013,0.01853,4.11144,0.0056,0.37471,5.56304,17.74086
6,6.a,6.a.1,DC_TOF_WASHL,"Total official development assistance (gross disbursement) for water supply and sanitation, by recipient countries (millions of constant 2021 United States dollars)",320,Guatemala,G,CON_USD_M,28.51547,8.93719,9.48418,12.75553,13.3942,18.56037,27.44636,15.28905,8.2303,32.75326,37.44219,10.36016,5.16886,5.28662,2.03028,2.79482,4.1619,16.58095,26.36104,21.28987,9.06812,11.46969
