"Goal","Target","Indicator","SeriesCode","SeriesDescription","GeoAreaCode","GeoAreaName","Activity","Location","Reporting Type","Units","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_GEN","Total wastewater generated (million m3/year)","28","Antigua and Barbuda","ISIC4_C","ALLAREA","G","M_M3_PER_YR","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_GEN","Total wastewater generated (million m3/year)","28","Antigua and Barbuda","ISIC4_D","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_GEN","Total wastewater generated (million m3/year)","28","Antigua and Barbuda","ISIC4_E","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_GEN","Total wastewater generated (million m3/year)","28","Antigua and Barbuda","ISIC4_F","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_GEN","Total wastewater generated (million m3/year)","28","Antigua and Barbuda","PRIV_HH","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_GEN","Total wastewater generated (million m3/year)","28","Antigua and Barbuda","SERV_HH","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_GEN","Total wastewater generated (million m3/year)","28","Antigua and Barbuda","SERVICES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_GEN","Total wastewater generated (million m3/year)","28","Antigua and Barbuda","TOTAL","ALLAREA","G","M_M3_PER_YR","2.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_GEN","Total wastewater generated (million m3/year)","32","Argentina","INDUSTRIES","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_GEN","Total wastewater generated (million m3/year)","32","Argentina","ISIC4_A","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_GEN","Total wastewater generated (million m3/year)","32","Argentina","ISIC4_B","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_GEN","Total wastewater generated (million m3/year)","32","Argentina","ISIC4_C","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_GEN","Total wastewater generated (million m3/year)","32","Argentina","ISIC4_D","ALLAREA","G","M_M3_PER_YR","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
