"Goal","Target","Indicator","SeriesCode","SeriesDescription","GeoAreaCode","GeoAreaName","Observation Status","Reporting Type","Units","2020","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","140","Central African Republic","A","G","PERCENT","0.57208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","13","Central America","A","G","PERCENT","","61.28587","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","62","Central and Southern Asia","A","G","PERCENT","25.46304","23.99078","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","143","Central Asia","A","G","PERCENT","31.9239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","148","Chad","A","G","PERCENT","2.26226","2.31578","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","830","Channel Islands","A","G","PERCENT","91.32912","93.53456","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","152","Chile","A","G","PERCENT","90.53275","89.10072","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","156","China","A","G","PERCENT","64.77986","61.67235","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","344","China, Hong Kong Special Administrative Region","A","G","PERCENT","85.66069","91.12024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","446","China, Macao Special Administrative Region","A","G","PERCENT","69.5","65.30954","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","170","Colombia","A","G","PERCENT","21.26281","18.77197","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","188","Costa Rica","A","G","PERCENT","23.27405","25.43294","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","384","Côte d'Ivoire","A","G","PERCENT","","16.80626","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","191","Croatia","A","G","PERCENT","60.32014","33.97195","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","192","Cuba","A","G","PERCENT","24.18225","34.03637","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","196","Cyprus","A","G","PERCENT","67.18718","72.63456","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","203","Czechia","A","G","PERCENT","90.12544","91.28708","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","180","Democratic Republic of the Congo","A","G","PERCENT","12.26042","15.53207","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","208","Denmark","A","G","PERCENT","95.94201","98.79153","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","262","Djibouti","A","G","PERCENT","10.93394","11.1374","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","214","Dominican Republic","A","G","PERCENT","","39.55861","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","14","Eastern Africa","A","G","PERCENT","","9.50767","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","753","Eastern and South-Eastern Asia","A","G","PERCENT","65.47466","62.63486","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","30","Eastern Asia","A","G","PERCENT","70.19569","67.84066","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","151","Eastern Europe","A","G","PERCENT","","40.29224","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","218","Ecuador","A","G","PERCENT","31.11171","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","818","Egypt","A","G","PERCENT","45.54527","73.84404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","222","El Salvador","A","G","PERCENT","12.94984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","233","Estonia","A","G","PERCENT","91.06382","92.2791","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","748","Eswatini","A","G","PERCENT","17.90526","17.46899","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","231","Ethiopia","A","G","PERCENT","","3.03551","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","150","Europe","A","G","PERCENT","76.48213","74.2899","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","513","Europe and Northern America","A","G","PERCENT","80.44318","86.47508","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","234","Faroe Islands","A","G","PERCENT","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","242","Fiji","A","G","PERCENT","","39.79052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","246","Finland","A","G","PERCENT","92.28329","89.73807","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","250","France","A","G","PERCENT","92.50121","87.94422","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","254","French Guiana","A","G","PERCENT","70.19862","71.78043","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","270","Gambia","A","G","PERCENT","11.14898","10.547","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","268","Georgia","A","G","PERCENT","45.9906","48.76445","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","276","Germany","A","G","PERCENT","99.26206","98.96163","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","288","Ghana","A","G","PERCENT","12.12577","11.81822","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","292","Gibraltar","A","G","PERCENT","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","300","Greece","A","G","PERCENT","92.65101","89.68182","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","304","Greenland","A","G","PERCENT","97.2264","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","624","Guinea-Bissau","A","G","PERCENT","21.40018","19.11757","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","328","Guyana","A","G","PERCENT","","32.47575","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","348","Hungary","A","G","PERCENT","89.56422","82.0525","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_WWDS","Proportion of safely treated domestic wastewater flows (%)","352","Iceland","A","G","PERCENT","73.46891","3.04609","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
