"Goal","Target","Indicator","SeriesCode","SeriesDescription","GeoAreaCode","GeoAreaName","Activity","Location","Reporting Type","Units","2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","70","Bosnia and Herzegovina","INDUSTRIES","ALLAREA","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","70","Bosnia and Herzegovina","TOTAL","ALLAREA","G","PERCENT","36.83909","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","100","Bulgaria","INDUSTRIES","ALLAREA","G","PERCENT","51.49276","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","100","Bulgaria","TOTAL","ALLAREA","G","PERCENT","129.87004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","124","Canada","INDUSTRIES","ALLAREA","G","PERCENT","70.36228","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","124","Canada","TOTAL","ALLAREA","G","PERCENT","253.14427","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","152","Chile","INDUSTRIES","ALLAREA","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","152","Chile","TOTAL","ALLAREA","G","PERCENT","49.91612","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","344","China, Hong Kong Special Administrative Region","INDUSTRIES","ALLAREA","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","344","China, Hong Kong Special Administrative Region","TOTAL","ALLAREA","G","PERCENT","95.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","170","Colombia","INDUSTRIES","ALLAREA","G","PERCENT","34.14181","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","170","Colombia","TOTAL","ALLAREA","G","PERCENT","45.29823","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","188","Costa Rica","INDUSTRIES","ALLAREA","G","PERCENT","64.37024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","188","Costa Rica","TOTAL","ALLAREA","G","PERCENT","28.42789","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","191","Croatia","INDUSTRIES","ALLAREA","G","PERCENT","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","191","Croatia","TOTAL","ALLAREA","G","PERCENT","94.51775","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","192","Cuba","INDUSTRIES","ALLAREA","G","PERCENT","152.41935","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","192","Cuba","TOTAL","ALLAREA","G","PERCENT","24.35675","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","196","Cyprus","INDUSTRIES","ALLAREA","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","196","Cyprus","TOTAL","ALLAREA","G","PERCENT","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","203","Czechia","INDUSTRIES","ALLAREA","G","PERCENT","36.84326","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","203","Czechia","TOTAL","ALLAREA","G","PERCENT","88.29024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","214","Dominican Republic","INDUSTRIES","ALLAREA","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","214","Dominican Republic","TOTAL","ALLAREA","G","PERCENT","32.83814","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","218","Ecuador","INDUSTRIES","ALLAREA","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","218","Ecuador","TOTAL","ALLAREA","G","PERCENT","29.81836","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","233","Estonia","INDUSTRIES","ALLAREA","G","PERCENT","72.86595","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","233","Estonia","TOTAL","ALLAREA","G","PERCENT","95.19582","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","231","Ethiopia","INDUSTRIES","ALLAREA","G","PERCENT","43.15789","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","231","Ethiopia","TOTAL","ALLAREA","G","PERCENT","58.86351","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.3","6.3.1","EN_WWT_TREATR","Proportion of wastewater treated, by activity and location (%)","246","Finland","INDUSTRIES","ALLAREA","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
