Country,Last,Previous Reference,Date,Unit
Rwanda,19.14,19.21,Dec/22,celsius
Morocco,19.1,18.48,Dec/22,celsius
South Africa,18.42,18.06,Dec/22,celsius
Uruguay,17.73,18.06,Dec/22,celsius
Turkmenistan,17.66,17.69,Dec/22,celsius
Portugal,16.9,16.1,Dec/22,celsius
Lebanon,15.66,16.2,Dec/22,celsius
Spain,15.3,14.31,Dec/22,celsius
Argentina,15.07,15.4,Dec/22,celsius
Monaco,15.01,13.62,Dec/22,celsius
Greece,14.88,15.09,Dec/22,celsius
Uzbekistan,14.86,14.76,Dec/22,celsius
Afghanistan,14.48,14.28,Dec/22,celsius
Nepal,14.39,14.29,Dec/22,celsius
Italy,14.38,13.52,Dec/22,celsius
San Marino,14.14,13.16,Dec/22,celsius
Azerbaijan,13.84,13.9,Dec/22,celsius
Albania,13.31,12.89,Dec/22,celsius
Croatia,13.16,12.19,Dec/22,celsius
France,13.16,11.58,Dec/22,celsius
South Korea,12.76,13.14,Dec/22,celsius
Lesotho,12.64,12.28,Dec/22,celsius
Hungary,12.62,11.58,Dec/22,celsius
Serbia,12.56,11.7,Dec/22,celsius
Japan,12.42,12.45,Dec/22,celsius
Bulgaria,12.28,11.97,Dec/22,celsius
Turkey,12.24,12.61,Dec/22,celsius
Belgium,11.98,10.48,Dec/22,celsius
Moldova,11.9,10.95,Dec/22,celsius
Netherlands,11.72,10.41,Dec/22,celsius
Macedonia,11.66,11.39,Dec/22,celsius
New Zealand,11.66,11.18,Dec/22,celsius
Bosnia and Herzegovina,11.57,10.7,Dec/22,celsius
Luxembourg,11.43,9.77,Dec/22,celsius
Romania,11.2,10.35,Dec/22,celsius
Slovenia,11.04,10,Dec/22,celsius
Montenegro,11,10.25,Dec/22,celsius
Germany,10.83,9.49,Dec/22,celsius
Bhutan,10.56,10.73,Dec/22,celsius
Ireland,10.35,9.94,Dec/22,celsius
United Kingdom,10.11,9.39,Dec/22,celsius
Ukraine,10.04,9.37,Dec/22,celsius
Georgia,9.92,10.05,Dec/22,celsius
Isle of Man,9.89,9.92,Dec/21,celsius
Slovakia,9.81,8.79,Dec/22,celsius
Denmark,9.77,8.96,Dec/22,celsius
Andorra,9.73,8.38,Dec/22,celsius
United States,9.73,10.01,Dec/22,celsius
Czech Republic,9.71,8.5,Dec/22,celsius
