"Goal","Target","Indicator","SeriesCode","SeriesDescription","GeoAreaCode","GeoAreaName","Observation Status","Reporting Type","Units","2017","2018","2020","2022","2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","44","Bahamas","M","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","48","Bahrain","A","G","PERCENT","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","48","Bahrain","M","G","PERCENT","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","50","Bangladesh","O","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","52","Barbados","M","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","112","Belarus","A","G","PERCENT","","","67.43","","30.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","112","Belarus","O","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","56","Belgium","A","G","PERCENT","100","","100","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","84","Belize","A","G","PERCENT","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","84","Belize","O","G","PERCENT","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","204","Benin","A","G","PERCENT","81.46","","83.33","","86.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","60","Bermuda","M","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","64","Bhutan","O","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","68","Bolivia (Plurinational State of)","A","G","PERCENT","","","","65.74","94.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","68","Bolivia (Plurinational State of)","O","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","535","Bonaire, Sint Eustatius and Saba","M","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","70","Bosnia and Herzegovina","A","G","PERCENT","92.60","","92.60","","92.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","72","Botswana","A","G","PERCENT","100","","100","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","76","Brazil","A","G","PERCENT","62.36","","61.82","","55.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","86","British Indian Ocean Territory","M","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","92","British Virgin Islands","M","G","PERCENT","NaN","","NaN","","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","96","Brunei Darussalam","A","G","PERCENT","","","0","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","96","Brunei Darussalam","O","G","PERCENT","NaN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","100","Bulgaria","A","G","PERCENT","99.55","","99.55","","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","6.5","6.5.2","EG_TBA_H2CO","Proportion of transboundary basins (river and lake basins and aquifers) with an operational arrangement for water cooperation (%)","854","Burkina Faso","A","G","PERCENT","","","","","94.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
